Mention,Date,Station,Show
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,The News with Rick Sanchez
1,4/2/20,RT,The News with Rick Sanchez
1,4/2/20,RT,The News with Rick Sanchez
1,4/2/20,RT,The News with Rick Sanchez
1,4/2/20,RT,The News with Rick Sanchez
1,4/2/20,RT,Politicking
1,4/2/20,RT,Politicking
1,4/2/20,RT,Documentary
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,Boom Bust
1,4/2/20,RT,News
1,4/2/20,RT,News
1,4/2/20,RT,Politicking
1,4/2/20,RT,Redacted Tonight
1,4/2/20,RT,Keiser Report
